epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,865.013,0.76456,0.52887,0.9644,0.93558,0.83773,0.88286,0.68058,0.87087,0.6356,1.0414,0.0006932,0.0006932,0.0006932
68,877.825,0.73693,0.48641,0.9467,0.94009,0.82801,0.88008,0.67561,0.86901,0.61621,1.04501,0.0006734,0.0006734,0.0006734
69,890.634,0.7343,0.50415,0.95842,0.95399,0.81398,0.87501,0.6781,0.87482,0.64409,1.04541,0.0006536,0.0006536,0.0006536
70,903.602,0.72742,0.48663,0.94823,0.9407,0.85092,0.88365,0.67821,0.87044,0.62495,1.04587,0.0006338,0.0006338,0.0006338
71,916.499,0.73552,0.47566,0.94398,0.92682,0.84697,0.8816,0.6817,0.87258,0.62426,1.04225,0.000614,0.000614,0.000614
72,929.345,0.74176,0.4968,0.95527,0.92713,0.8393,0.88151,0.68644,0.87084,0.63141,1.04133,0.0005942,0.0005942,0.0005942
73,942.301,0.73828,0.49888,0.95434,0.92381,0.85092,0.88283,0.68333,0.85942,0.62644,1.04518,0.0005744,0.0005744,0.0005744
74,955.141,0.73745,0.48669,0.94547,0.9336,0.84697,0.88111,0.68331,0.85089,0.61209,1.0369,0.0005546,0.0005546,0.0005546
75,967.948,0.70894,0.46118,0.93767,0.93946,0.83773,0.88295,0.68362,0.8716,0.61495,1.04808,0.0005348,0.0005348,0.0005348
76,980.96,0.7222,0.47659,0.95268,0.95278,0.82526,0.87696,0.67808,0.86614,0.63013,1.0442,0.000515,0.000515,0.000515
77,993.762,0.71777,0.47368,0.95125,0.94588,0.83009,0.88625,0.68803,0.8666,0.60493,1.04196,0.0004952,0.0004952,0.0004952
78,1006.59,0.71669,0.46992,0.94472,0.95179,0.8334,0.88494,0.68081,0.87039,0.61069,1.04619,0.0004754,0.0004754,0.0004754
79,1019.59,0.71708,0.45968,0.9366,0.95605,0.8285,0.875,0.68826,0.85083,0.61431,1.03771,0.0004556,0.0004556,0.0004556
80,1032.39,0.70107,0.46761,0.94601,0.95012,0.83641,0.88042,0.67982,0.86669,0.62529,1.04875,0.0004358,0.0004358,0.0004358
81,1045.23,0.69591,0.45625,0.93941,0.94206,0.82454,0.88501,0.68272,0.84899,0.60779,1.0362,0.000416,0.000416,0.000416
82,1058,0.7078,0.45383,0.93672,0.95542,0.82454,0.88517,0.68621,0.86009,0.60692,1.03852,0.0003962,0.0003962,0.0003962
83,1070.85,0.69654,0.44055,0.93668,0.93689,0.82982,0.88205,0.68766,0.85568,0.60989,1.04453,0.0003764,0.0003764,0.0003764
84,1083.86,0.70613,0.45691,0.94026,0.94038,0.83641,0.88464,0.68679,0.85864,0.60281,1.03961,0.0003566,0.0003566,0.0003566
85,1096.72,0.70147,0.44534,0.93691,0.93259,0.83641,0.8806,0.68834,0.85112,0.60273,1.03804,0.0003368,0.0003368,0.0003368
86,1109.55,0.70021,0.45727,0.94102,0.94143,0.82696,0.87868,0.68431,0.86542,0.60727,1.04013,0.000317,0.000317,0.000317
87,1122.55,0.69107,0.42591,0.93021,0.94078,0.83838,0.87922,0.68592,0.85754,0.61155,1.04571,0.0002972,0.0002972,0.0002972
88,1135.36,0.69203,0.44548,0.92976,0.92104,0.84433,0.88839,0.69119,0.84706,0.60052,1.03909,0.0002774,0.0002774,0.0002774
89,1148.19,0.69688,0.42916,0.92591,0.9361,0.831,0.88476,0.68679,0.84327,0.59205,1.03491,0.0002576,0.0002576,0.0002576
90,1161.18,0.68555,0.43913,0.93682,0.95992,0.82147,0.88525,0.68782,0.85477,0.60008,1.04341,0.0002378,0.0002378,0.0002378
